,precision,recall,f1-score,support
Bulutlu,0.9512195121951219,0.9629629629629629,0.9570552147239264,162.0
Güneşli,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Karlı,0.9659090909090909,0.96045197740113,0.9631728045325779,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,1.0,0.9473684210526315,0.972972972972973,19.0
accuracy,0.9561643835616438,0.9561643835616438,0.9561643835616438,0.9561643835616438
macro avg,0.7262828634779854,0.7408233389500116,0.7324863522920493,365.0
weighted avg,0.9543813269924195,0.9561643835616438,0.9551408281901741,365.0
