,precision,recall,f1-score,support
Bulutlu,0.0,0.0,0.0,162.0
Güneşli,0.0,0.0,0.0,6.0
Karlı,0.8372093023255814,0.2033898305084746,0.32727272727272727,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.0,0.0,0.0,19.0
micro avg,0.23841059602649006,0.09863013698630137,0.13953488372093023,365.0
macro avg,0.16744186046511628,0.04067796610169492,0.06545454545454546,365.0
weighted avg,0.405989168525008,0.09863013698630137,0.15870485678704857,365.0
