,precision,recall,f1-score,support
Bulutlu,0.8827160493827161,0.8827160493827161,0.8827160493827161,162.0
Güneşli,1.0,0.6666666666666666,0.8,6.0
Karlı,0.8978494623655914,0.943502824858757,0.9201101928374655,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.8461538461538461,0.5789473684210527,0.6875,19.0
accuracy,0.8904109589041096,0.8904109589041096,0.8904109589041096,0.8904109589041096
macro avg,0.7253438715804308,0.6143665818658385,0.6580652484440364,365.0
weighted avg,0.8876610353852952,0.8904109589041096,0.8869096003622778,365.0
