,precision,recall,f1-score,support
Bulutlu,0.930379746835443,0.9074074074074074,0.91875,162.0
Güneşli,1.0,0.6666666666666666,0.8,6.0
Karlı,0.9239130434782609,0.96045197740113,0.9418282548476454,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
accuracy,0.9232876712328767,0.9232876712328767,0.9232876712328767,0.9232876712328767
macro avg,0.7392796106943197,0.6753262629266198,0.700536703601108,365.0
weighted avg,0.9212441854328601,0.9232876712328767,0.9214824687891323,365.0
