,precision,recall,f1-score,support
Bulutlu,0.9625,0.9506172839506173,0.9565217391304348,162.0
Güneşli,0.6666666666666666,1.0,0.8,6.0
Karlı,0.9720670391061452,0.9830508474576272,0.9775280898876404,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
accuracy,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041
macro avg,0.7084820352722094,0.7551546789132277,0.7245877435813928,365.0
weighted avg,0.9585293667478471,0.958904109589041,0.9579941987346074,365.0
