,precision,recall,f1-score,support
Bulutlu,0.0,0.0,0.0,162.0
Güneşli,0.0,0.0,0.0,6.0
Karlı,0.8536585365853658,0.1977401129943503,0.3211009174311927,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.0,0.0,0.0,19.0
micro avg,0.22727272727272727,0.0958904109589041,0.1348747591522158,365.0
macro avg,0.17073170731707316,0.03954802259887006,0.06422018348623854,365.0
weighted avg,0.41396592048112263,0.0958904109589041,0.15571195174060576,365.0
