,precision,recall,f1-score,support
Bulutlu,0.0,0.0,0.0,162.0
Güneşli,0.0,0.0,0.0,6.0
Karlı,0.7435897435897436,0.1638418079096045,0.26851851851851855,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,0.0,0.0,0.0,19.0
micro avg,0.232,0.07945205479452055,0.11836734693877551,365.0
macro avg,0.14871794871794872,0.0327683615819209,0.05370370370370371,365.0
weighted avg,0.36059009483667015,0.07945205479452054,0.13021308980213092,365.0
