,precision,recall,f1-score,support
Bulutlu,0.9875,0.9753086419753086,0.9813664596273292,162.0
Güneşli,1.0,0.8333333333333334,0.9090909090909091,6.0
Karlı,0.9779005524861878,1.0,0.9888268156424581,177.0
Parçalı Bulutlu,0.0,0.0,0.0,1.0
Rüzgarlı,1.0,1.0,1.0,19.0
accuracy,0.9835616438356164,0.9835616438356164,0.9835616438356164,0.9835616438356164
macro avg,0.7930801104972376,0.7617283950617284,0.7758568368721392,365.0
weighted avg,0.9809956103837129,0.9835616438356164,0.9820774199531175,365.0
