,precision,recall,f1-score,support
Bulutlu,0.9620253164556962,0.9382716049382716,0.95,162.0
Güneşli,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Karlı,0.9664804469273743,0.9774011299435028,0.9719101123595506,177.0
Parçalı Bulutlu,1.0,1.0,1.0,1.0
Rüzgarlı,0.9,0.9473684210526315,0.9230769230769231,19.0
accuracy,0.9561643835616438,0.9561643835616438,0.9561643835616438,0.9561643835616438
macro avg,0.908558295533757,0.9392748978535479,0.9228435609334487,365.0
weighted avg,0.9569886428977598,0.9561643835616438,0.9563888658670867,365.0
