,recall
pca_SVM,0.9232876712328767
pca_Random Forest,0.8904109589041096
pca_Linear Regression,0.07945205479452054
pca_Neural Network,0.9205479452054794
lda_SVM,0.958904109589041
lda_Random Forest,0.9561643835616438
lda_Linear Regression,0.09863013698630137
lda_Neural Network,0.9561643835616438
rfe_SVM,0.9835616438356164
rfe_Random Forest,1.0
rfe_Linear Regression,0.0958904109589041
rfe_Neural Network,1.0
